cpu,real,situation
0.063,2.442,q1-indexes-foreign-case:b
0.063,2.405,q1-indexes-foreign-case:b
0.063,2.427,q1-indexes-foreign-case:b
0.064,2.425,q1-indexes-foreign-case:b
0.063,2.431,q1-indexes-foreign-case:b
0.065,2.432,q1-indexes-foreign-case:b
0.063,2.413,q1-indexes-foreign-case:b
0.063,2.427,q1-indexes-foreign-case:b
0.063,2.408,q1-indexes-foreign-case:b
0.063,2.421,q1-indexes-foreign-case:b
0.064,2.424,q1-indexes-foreign-case:b
0.063,2.42,q1-indexes-foreign-case:b
0.062,2.429,q1-indexes-foreign-case:b
0.063,2.419,q1-indexes-foreign-case:b
0.062,2.412,q1-indexes-foreign-case:b
0.063,2.438,q1-indexes-foreign-case:b
0.064,2.441,q1-indexes-foreign-case:b
0.063,2.43,q1-indexes-foreign-case:b
0.063,2.417,q1-indexes-foreign-case:b
0.063,2.428,q1-indexes-foreign-case:b
0.063,2.413,q1-indexes-foreign-case:b
0.063,2.441,q1-indexes-foreign-case:b
0.063,2.431,q1-indexes-foreign-case:b
0.063,2.425,q1-indexes-foreign-case:b
0.063,2.434,q1-indexes-foreign-case:b
0.063,2.438,q1-indexes-foreign-case:b
0.063,2.419,q1-indexes-foreign-case:b
0.064,2.421,q1-indexes-foreign-case:b
0.063,2.424,q1-indexes-foreign-case:b
0.062,2.431,q1-indexes-foreign-case:b
0.062,2.434,q1-indexes-foreign-case:b
0.063,2.416,q1-indexes-foreign-case:b
0.063,2.421,q1-indexes-foreign-case:b
0.063,37.892,q1-indexes-foreign-case:c
0.064,11.353,q1-indexes-foreign-case:c
0.063,3.554,q1-indexes-foreign-case:c
0.063,2.428,q1-indexes-foreign-case:c
0.064,2.492,q1-indexes-foreign-case:c
0.063,2.679,q1-indexes-foreign-case:c
0.063,2.347,q1-indexes-foreign-case:c
0.063,2.354,q1-indexes-foreign-case:c
0.064,2.36,q1-indexes-foreign-case:c
0.064,2.351,q1-indexes-foreign-case:c
0.064,2.35,q1-indexes-foreign-case:c
0.063,2.373,q1-indexes-foreign-case:c
0.064,2.346,q1-indexes-foreign-case:c
0.064,2.361,q1-indexes-foreign-case:c
0.063,2.37,q1-indexes-foreign-case:c
0.063,2.374,q1-indexes-foreign-case:c
0.064,2.354,q1-indexes-foreign-case:c
0.064,2.36,q1-indexes-foreign-case:c
0.064,2.362,q1-indexes-foreign-case:c
0.063,2.38,q1-indexes-foreign-case:c
0.064,2.357,q1-indexes-foreign-case:c
0.063,2.357,q1-indexes-foreign-case:c
0.064,2.35,q1-indexes-foreign-case:c
0.064,2.372,q1-indexes-foreign-case:c
0.065,2.346,q1-indexes-foreign-case:c
0.062,2.345,q1-indexes-foreign-case:c
0.062,2.36,q1-indexes-foreign-case:c
0.063,2.358,q1-indexes-foreign-case:c
0.063,2.378,q1-indexes-foreign-case:c
0.064,2.399,q1-indexes-foreign-case:c
0.063,2.4,q1-indexes-foreign-case:c
0.064,2.44,q1-indexes-foreign-case:c
0.063,2.399,q1-indexes-foreign-case:c
0.063,2.354,q1-indexes-foreign-case:c
0.065,2.398,q1-indexes-foreign-case:c
0.065,2.395,q1-indexes-foreign-case:c
0.062,2.393,q1-indexes-foreign-case:c
0.063,2.383,q1-indexes-foreign-case:c
0.064,2.39,q1-indexes-foreign-case:c
0.064,2.393,q1-indexes-foreign-case:c
0.063,2.413,q1-indexes-foreign-case:c
0.065,2.38,q1-indexes-foreign-case:c
0.064,2.399,q1-indexes-foreign-case:c
0.064,2.412,q1-indexes-foreign-case:c
0.063,2.39,q1-indexes-foreign-case:c
0.062,2.388,q1-indexes-foreign-case:c
